DF#,City,County,State,TweetLoc,RatioFuzzy
45,florence,fremont,colorado, fremont.ca,82
46,warne,clay,north carolina, north carolina usa,88
47,elmira,chemung,new york, new york,100
48,ketchikan,ketchikan gateway,alaska, ,100
49,skagway,skagway,alaska, usa,75
50,granite canon,laramie,wyoming, the non-islamic world,59
51,philadelphia,philadelphia,pennsylvania, philadelphiapa,93
52,port charlotte,charlotte,florida, charlotte nc,92
53,montgomery,montgomery,alabama, montgomery al,100
54,athens,greene,new york, athens greece,86
55,clyde,wayne,new york, dc by way of new orleans,65
56,ketchikan,ketchikan gateway,alaska, ,100
57,kosrae,federated states of micro,micronesia, united states,71
58,wilder,overton,tennessee, tennessee,100
59,hart,castro,texas, great state of texas ,71
60,ketchikan,ketchikan gateway,alaska, ,100
61,hart,castro,texas, great state of texas ??,71
62,skagway,skagway,alaska, usa,75
63,south solon,madison,ohio, soflo,83
64,kosrae,federated states of micro,micronesia, united states,71
65,hart,castro,texas, great state of texas ??,71
66,ketchikan,ketchikan gateway,alaska, ,100
67,wilder,overton,tennessee, tennessee usa,83
68,ketchikan,ketchikan gateway,alaska, ,100
69,ketchikan,ketchikan gateway,alaska, ,100
70,elmira,chemung,new york, new york city,78
71,ketchikan,ketchikan gateway,alaska, ,100
72,el paso,el paso,texas, texas,100
73,imperial,pecos,texas, az  tx www.medexpertchile.com ,50
74,amherst,lamb,texas, birchwalkerstan labor camp 79 ,61
75,anita,cass,iowa, do you want to assimilate?,60
76,wellborn,suwannee,florida, suwanee ga,82
77,kosrae,federated states of micro,micronesia, united states,71
78,west new york,hudson,new jersey, new york usa,85
79,north hollywood,los angeles,california, hollywoodfl,92
80,shaw island,san juan,washington, islandia ny,75
81,ketchikan,ketchikan gateway,alaska, ,100
82,ketchikan,ketchikan gateway,alaska, ,100
83,intercourse,lancaster,pennsylvania, intercourse pa,87
84,thayer,neosho,kansas, neohio,86
85,ladysmith,rusk,wisconsin, rural wisconsin usa,74
86,skagway,skagway,alaska, usa,75
87,midwest,natrona,wyoming, mid west,78
88,virginia,saint louis,minnesota, virginia usa,85
89,ketchikan,ketchikan gateway,alaska, ,100
90,ketchikan,ketchikan gateway,alaska, ,100
91,republican city,harlan,nebraska, dublin city ireland,75
92,ketchikan,ketchikan gateway,alaska, ,100
93,ketchikan,ketchikan gateway,alaska, ,100
94,weeping water,cass,nebraska, deep in the swomps ,60
95,ketchikan,ketchikan gateway,alaska, ,100
96,seattle,king,washington, seattle,88
97,ketchikan,ketchikan gateway,alaska, ,100
98,south lake tahoe,el dorado,california, seattle - the emerald city,56
99,ketchikan,ketchikan gateway,alaska, ,100
100,new london,kandiyohi,minnesota, londonuk,89
101,ketchikan,ketchikan gateway,alaska, ,100
102,marlborough,cheshire,new hampshire, marlborough ct,87
103,ketchikan,ketchikan gateway,alaska, ,100
104,ketchikan,ketchikan gateway,alaska, ,100
105,republic,ferry,washington, people's republic of hellinois,65
106,ketchikan,ketchikan gateway,alaska, ,100
107,elmira,chemung,new york, new york,100
108,ketchikan,ketchikan gateway,alaska, ,100
109,san jose,santa clara,california, san jose ca,83
110,ketchikan,ketchikan gateway,alaska, ,100
111,mid florida,seminole,florida, florida usa,83
112,truckee,nevada,california, nevada usa,82
113,chalkyitsik,yukon koyukuk,alaska, yukon ok,89
114,ketchikan,ketchikan gateway,alaska, ,100
115,ketchikan,ketchikan gateway,alaska, ,100
116,ketchikan,ketchikan gateway,alaska, ,100
117,ketchikan,ketchikan gateway,alaska, ,100
118,staten island,richmond,new york, staten island ny ,78
119,ketchikan,ketchikan gateway,alaska, ,100
120,ketchikan,ketchikan gateway,alaska, ,100
121,point baker,prince of wales hyder,alaska, az,67
122,kosrae,federated states of micro,micronesia, united states,71
123,stuart,martin,florida, florida,100
124,huntington beach,orange,california, huntington beach ca,90
125,farnham,erie,new york, far away from bernie sanders,59
126,point of rocks,sweetwater,wyoming, rockies mst,75
127,saint george,washington,utah, washington state,85
128,palmdale,los angeles,california, los angeles ca,100
129,ketchikan,ketchikan gateway,alaska, ,100
130,springfield,greene,missouri, missouri usa,82
131,springfield,greene,missouri, missouri usa,82
132,san diego,san diego,california, san diego,100
133,palo,ionia,michigan,  florida/michigan my homestate,63
134,ketchikan,ketchikan gateway,alaska, ,100
135,la place,st john the baptist,louisiana, fled dc on the road,60
136,bayside,refugio,texas, republic of texas,75
137,weiser,washington,idaho, washington dc,93
138,ketchikan,ketchikan gateway,alaska, ,100
139,ketchikan,ketchikan gateway,alaska, ,100
140,wooldridge,cooper,missouri, worldwide,70
141,colorado city,mohave,arizona, colorado city az,82
142,yemassee,hampton,south carolina, south carolina,100
143,el paso,el paso,texas, texas,100
144,bannister,gratiot,michigan, #sisterpatriot,67
145,ketchikan,ketchikan gateway,alaska, ,100
146,ketchikan,ketchikan gateway,alaska, ,100
147,ketchikan,ketchikan gateway,alaska, ,100
148,ketchikan,ketchikan gateway,alaska, ,100
149,north chicago,lake,illinois, chicago il,91
150,north chicago,lake,illinois, chicago il,91
151,vaughn,cascade,montana, causa,83
152,west new york,hudson,new jersey, new york usa,85
153,ketchikan,ketchikan gateway,alaska, ,100
154,ketchikan,ketchikan gateway,alaska, ,100
155,emerald isle,carteret,north carolina, hostile territory,61
156,ketchikan,ketchikan gateway,alaska, ,100
157,vienna,johnson,illinois, illinois usa,82
158,ketchikan,ketchikan gateway,alaska, ,100
159,ketchikan,ketchikan gateway,alaska, ,100
160,ketchikan,ketchikan gateway,alaska, ,100
161,wall lake,sac,iowa, sc via dc,63
162,north hollywood,los angeles,california, hollywood fl,92
163,ketchikan,ketchikan gateway,alaska, ,100
164,palmdale,los angeles,california, los angeles ca,100
165,portland,northampton,pennsylvania, portland or ,85
166,newalla,cleveland,oklahoma, cleveland  ohio,81
167,staten island,richmond,new york, staten island ny ,78
168,denver,denver,colorado, denver colorado. fun times,73
169,truckee,nevada,california, california,100
170,offutt a f b,sarpy,nebraska,  usa,80
171,yemassee,hampton,south carolina, south carolina,100
172,worthington,putnam,missouri, worthington ky,80
173,piketon,pike,ohio, mildew ohio,73
174,ketchikan,ketchikan gateway,alaska, ,100
175,coram,flathead,montana, coram,83
176,truckee,nevada,california, california,100
177,ketchikan,ketchikan gateway,alaska, ,100
178,whitefield,coos,new hampshire, bow new hampshire usa,78
179,ketchikan,ketchikan gateway,alaska, ,100
180,waelder,gonzales,texas, go noles,78
181,new carlisle,st joseph,indiana, carlisle,100
182,louise,wharton,texas, undisclosed location near dc,60
183,ketchikan,ketchikan gateway,alaska, ,100
184,ketchikan,ketchikan gateway,alaska, ,100
185,tupman,kern,california, ankeny ia,70
186,ketchikan,ketchikan gateway,alaska, ,100
187,manhattan beach,los angeles,california, manhattan beach ca,84
188,ketchikan,ketchikan gateway,alaska, ,100
189,ketchikan,ketchikan gateway,alaska, ,100
190,sevier,sevier,utah, #nevertrump.  ever. ,56
191,cave city,barren,kentucky, cave city ar,92
192,skagway,skagway,alaska, usa,75
193,jasper,jasper,texas, ad astra per aspera?,63
194,truckee,nevada,california, california,100
195,ketchikan,ketchikan gateway,alaska, ,100
196,alfred station,allegany,new york, a red state thankfully,61
197,ketchikan,ketchikan gateway,alaska, ,100
198,san francisco,san francisco,california, va/nc/sc,67
199,port charlotte,charlotte,florida, charlotte nc,92
200,ketchikan,ketchikan gateway,alaska, ,100
201,east hanover,morris,new jersey, east hanover nj,81
202,ketchikan,ketchikan gateway,alaska, ,100
203,chicago,cook,illinois, chicago/okc,75
204,ketchikan,ketchikan gateway,alaska, ,100
205,ketchikan,ketchikan gateway,alaska, ,100
206,ketchikan,ketchikan gateway,alaska, ,100
207,ketchikan,ketchikan gateway,alaska, ,100
208,ketchikan,ketchikan gateway,alaska, ,100
209,weiser,washington,idaho, washington dc,93
210,warne,clay,north carolina, north carolina usa,88
211,hart,castro,texas, great state of texas,71
212,ketchikan,ketchikan gateway,alaska, ,100
213,modena,iron,utah, fema region v usa,58
214,ketchikan,ketchikan gateway,alaska, ,100
215,florence,pinal,arizona, exceptional usa,63
216,ketchikan,ketchikan gateway,alaska, ,100
217,mid florida,seminole,florida, florida usa,83
218,tonganoxie,leavenworth,kansas, leavenworth kansas usa,90
219,ketchikan,ketchikan gateway,alaska, ,100
220,wister,le flore,oklahoma, oklahoma,100
221,ketchikan,ketchikan gateway,alaska, ,100
222,new york,new york,new york, new york ny,92
223,new ulm,austin,texas, austin texas,100
224,lower salem,washington,ohio, seattle washington,84
225,ketchikan,ketchikan gateway,alaska, ,100
226,new boston,mercer,illinois, boston ma,90
227,weiser,washington,idaho, washington dc,93
228,minden city,sanilac,michigan, ypsilanti michigan,78
229,red level,covington,alabama, red levelal,75
230,colorado city,mohave,arizona, colorado city az,82
231,ketchikan,ketchikan gateway,alaska, ,100
232,wonalancet,carroll,new hampshire, new hampshire usa,88
233,ketchikan,ketchikan gateway,alaska, ,100
234,berkeley,alameda,california, alameda ca,100
235,california,saint marys,maryland, california usa,87
236,ketchikan,ketchikan gateway,alaska, ,100
237,quail,collingsworth,texas, south texas,83
238,skagway,skagway,alaska, usa,75
239,rancho cordova,sacramento,california, cordova tn -- sc native,58
240,ty ty,tift,georgia, georgia usa,80
241,iola,waupaca,wisconsin, wisconsin,100
242,ketchikan,ketchikan gateway,alaska, ,100
243,new brunswick,middlesex,new jersey, new jersey,100
244,south charleston,clark,ohio, charleston wv,86
245,portland,washington,oregon, portland maine,80
246,new salem,morton,north dakota, salem or,89
247,ketchikan,ketchikan gateway,alaska, ,100
248,ketchikan,ketchikan gateway,alaska, ,100
249,lake ozark,camden,missouri, ozark al,89
250,sutter,sutter,california, southern california,89
251,fort myers beach,lee,florida, ft. myers area,73
252,ketchikan,ketchikan gateway,alaska, ,100
253,new boston,bowie,texas, boston,100
254,alamo,wheeler,georgia, whereeveriwant2b,61
255,reading,berks,pennsylvania, pennsylvania usa,87
256,ketchikan,ketchikan gateway,alaska, ,100
257,atlanta,cass,texas, atlanta ga / fort lauderdale,61
258,ketchikan,ketchikan gateway,alaska, ,100
259,iola,waupaca,wisconsin, wisconsin,100
260,ketchikan,ketchikan gateway,alaska, ,100
261,ratcliff,houston,texas, houston tx usa,83
262,springfield,greene,missouri, missouri,100
263,mid florida,seminole,florida, florida usa,83
264,ketchikan,ketchikan gateway,alaska, ,100
265,cabool,texas,missouri, texas usa,80
266,ketchikan,ketchikan gateway,alaska, ,100
267,tallula,menard,illinois, decatur illinois,79
268,midwest,natrona,wyoming, midwest (nemoks),59
269,ketchikan,ketchikan gateway,alaska, ,100
270,atqasuk,north slope,alaska, tn,67
271,ketchikan,ketchikan gateway,alaska, ,100
272,seattle,king,washington, seattle,88
273,yemassee,hampton,south carolina, south carolina,100
274,bull shoals,marion,arkansas, socal,83
275,ketchikan,ketchikan gateway,alaska, ,100
276,ketchikan,ketchikan gateway,alaska, ,100
277,ketchikan,ketchikan gateway,alaska, ,100
278,tsaile,apache,arizona, phoenixarizona,73
279,kittrell,vance,north carolina, vancouver british columbia,67
280,ketchikan,ketchikan gateway,alaska, ,100
281,ketchikan,ketchikan gateway,alaska, ,100
282,el cerrito,contra costa,california, america central(costa rica),64
283,ketchikan,ketchikan gateway,alaska, ,100
284,portland,washington,oregon, portland maine,80
285,new boston,mercer,illinois, boston ma,90
286,new london,kandiyohi,minnesota, londonuk,89
287,la center,clark,washington, central iowa usa,65
288,oregon house,yuba,california, oregon usa,82
289,natchitoches,natchitoches,louisiana, louisiana,100
290,springfield,greene,missouri, missouri,100
291,ketchikan,ketchikan gateway,alaska, ,100
292,ketchikan,ketchikan gateway,alaska, ,100
293,ketchikan,ketchikan gateway,alaska, ,100
294,sealy,austin,texas, ottawa canada; austin texas,78
295,ketchikan,ketchikan gateway,alaska, ,100
296,ketchikan,ketchikan gateway,alaska, ,100
297,el paso,el paso,texas, texas,100
298,atoka,tipton,tennessee, tulsa ok but proud tennessean,68
299,scottsdale,maricopa,arizona, scottsdale az,86
300,ketchikan,ketchikan gateway,alaska, ,100
301,wister,le flore,oklahoma, oklahoma,100
302,carson city,carson city,nevada, carson city nv,93
303,ketchikan,ketchikan gateway,alaska, ,100
304,ketchikan,ketchikan gateway,alaska, ,100
305,ketchikan,ketchikan gateway,alaska, ,100
306,garden city,saint mary,louisiana, spain/italy,67
307,joliet,will,illinois, joliet il,90
308,ketchikan,ketchikan gateway,alaska, ,100
309,trenton,mercer,new jersey, twitter church new jerusalem ,64
310,sisters,deschutes,oregon, s.c.,60
311,kosrae,federated states of micro,micronesia, united states,71
312,palm coast,flagler,florida, palm coast fl,93
313,ketchikan,ketchikan gateway,alaska, ,100
314,ketchikan,ketchikan gateway,alaska, ,100
315,ketchikan,ketchikan gateway,alaska, ,100
316,ketchikan,ketchikan gateway,alaska, ,100
317,new england,hettinger,north dakota, new england ,92
318,morristown,maricopa,arizona, morristown nj,79
319,high point,moniteau,missouri, high point nc,86
320,pilot station,wade hampton,alaska, tx,67
321,southold,suffolk,new york, southold ny,75
322,sutter,sutter,california, southern california,89
323,west new york,hudson,new jersey, new york usa,85
324,ketchikan,ketchikan gateway,alaska, ,100
325,lula,hall,georgia, build that wall god bless you,59
326,ketchikan,ketchikan gateway,alaska, ,100
327,huntington beach,orange,california, huntington beach ca,90
328,ketchikan,ketchikan gateway,alaska, ,100
329,natchitoches,natchitoches,louisiana, louisiana,100
330,ketchikan,ketchikan gateway,alaska, ,100
331,ketchikan,ketchikan gateway,alaska, ,100
332,ketchikan,ketchikan gateway,alaska, ,100
333,saint george,pottawatomie,kansas, st george ut,77
334,tok,southeast fairbanks,alaska, southeast usa,86
335,ketchikan,ketchikan gateway,alaska, ,100
336,truckee,nevada,california, california,100
337,wilder,overton,tennessee, tennessee usa,83
338,south haven,wright,minnesota, gophavenorights2myprivateparts,54
339,starkville,oktibbeha,mississippi, snarkville,82
340,ketchikan,ketchikan gateway,alaska, ,100
341,cabool,texas,missouri, texas usa,80
342,reading,berks,pennsylvania, pennsylvania usa,87
343,ketchikan,ketchikan gateway,alaska, ,100
344,mancos,montezuma,colorado, a nice cozy pro-trump corner :),52
345,florence,pinal,arizona, exceptional usa,63
346,ketchikan,ketchikan gateway,alaska, ,100
347,ketchikan,ketchikan gateway,alaska, ,100
348,stuart,martin,florida, florida,100
349,easton,leavenworth,kansas, east of eden,69
350,ketchikan,ketchikan gateway,alaska, ,100
351,ketchikan,ketchikan gateway,alaska, ,100
352,ketchikan,ketchikan gateway,alaska, ,100
353,rancho cucamonga,san bernardino,california, rancho cucamonga ca,90
354,sacramento,sacramento,california, sacramento california,100
355,west liberty,ohio,west virginia, ohio usa,78
356,atqasuk,north slope,alaska, globe az,67
357,ketchikan,ketchikan gateway,alaska, ,100
358,skagway,skagway,alaska, usa,75
359,minburn,dallas,iowa, texasruburban dallas,67
360,ketchikan,ketchikan gateway,alaska, ,100
361,san diego,san diego,california, san diego ca,100
362,oak island,lake of the woods,minnesota, land of the giants.,65
363,ketchikan,ketchikan gateway,alaska, ,100
364,san diego,san diego,california, san diego ca,100
365,sterling,burleigh,north dakota, raleigh nc,82
366,hobe sound,martin,florida, somewhere in florida,71
367,tok,southeast fairbanks,alaska,  south,86
368,white mills,hardin,kentucky, kentucky usa,82
369,wooldridge,cooper,missouri, worldwide,70
370,new london,rusk,texas, london,100
371,coronado,san diego,california, san diego ca - bangor me,65
372,zahl,williams,north dakota, north dakota,100
373,point baker,prince of wales hyder,alaska, az,67
374,reading,berks,pennsylvania, pennsylvania usa,87
375,ketchikan,ketchikan gateway,alaska, ,100
376,los banos,merced,california, bangor me,80
377,portland,washington,oregon, portland maine,80
378,ketchikan,ketchikan gateway,alaska, ,100
379,ketchikan,ketchikan gateway,alaska, ,100
380,vevay,switzerland,indiana, switzerland & germany ,70
381,wheeler,porter,indiana, southern indiana,81
382,sahuarita,pima,arizona, ahurastan ??-? atropia ,55
383,cape may court house,cape may,new jersey, my bigass house ,65
384,englewood,sarasota,florida, sarasota florida,100
385,cincinnati,hamilton,ohio, cincinnati ohio,81
386,vevay,switzerland,indiana, switzerland & germany ,70
387,ketchikan,ketchikan gateway,alaska, ,100
388,sterling,sanpete,utah, traveling usa,64
389,new boston,mercer,illinois, boston ma,90
390,ketchikan,ketchikan gateway,alaska, ,100
391,taylor,stark,north dakota, stark tower,75
392,skagway,skagway,alaska, usa,75
393,kosrae,federated states of micro,micronesia, united states,71
394,north hollywood,los angeles,california, hollywood/seattle/west coast,62
395,atlanta,cass,texas, atlanta ga,82
396,west new york,hudson,new jersey, new york usa,85
397,cincinnati,appanoose,iowa, cincinnati,91
398,point of rocks,sweetwater,wyoming, rockies mst,75
399,new boston,mercer,illinois, boston ma,90
400,roanoke,botetourt,virginia, monkey bottom,71
401,dallas,dallas,texas, dallas tx,90
402,ketchikan,ketchikan gateway,alaska, ,100
403,kosrae,federated states of micro,micronesia, united states,71
404,ketchikan,ketchikan gateway,alaska, ,100
405,ketchikan,ketchikan gateway,alaska, ,100
406,ketchikan,ketchikan gateway,alaska, ,100
407,ketchikan,ketchikan gateway,alaska, ,100
408,mid florida,seminole,florida, florida usa,83
409,ketchikan,ketchikan gateway,alaska, ,100
410,boca raton,palm beach,florida, palm coast florida,79
411,new london,rusk,texas, london,100
412,new lisbon,henry,indiana, lisbon nh,90
413,zahl,williams,north dakota, north idaho,83
414,ketchikan,ketchikan gateway,alaska, ,100
415,east petersburg,lancaster,pennsylvania, st petersburg fl,88
416,ketchikan,ketchikan gateway,alaska, ,100
417,florissant,teller,colorado, florissant co,79
418,farmington,san joaquin,california, farmington nm,86
419,oklahoma city,oklahoma,oklahoma, oklahoma city ok,94
420,ketchikan,ketchikan gateway,alaska, ,100
421,ratcliff,houston,texas, houston tx,91
422,novice,coleman,texas, joshleen trash,62
423,ketchikan,ketchikan gateway,alaska, ,100
424,fort lauderdale,broward,florida, ft lauderdale florida,73
425,ketchikan,ketchikan gateway,alaska, ,100
426,san francisco,san francisco,california, san francisco ca,100
427,ketchikan,ketchikan gateway,alaska, ,100
428,florissant,teller,colorado, florissant co,79
429,mid florida,seminole,florida, florida usa,83
430,ketchikan,ketchikan gateway,alaska, ,100
431,appalachia,wise,virginia, 1896 farm appalachia nw pa,70
432,ketchikan,ketchikan gateway,alaska, ,100
433,ketchikan,ketchikan gateway,alaska, ,100
434,arcadia,de soto,florida, north florida,79
435,ketchikan,ketchikan gateway,alaska, ,100
436,ketchikan,ketchikan gateway,alaska, ,100
437,adel,lake,oregon, finger lakes region  ny,75
438,haughton,bossier,louisiana, (r) caution-offensive language,55
439,tenakee springs,hoonah angoon,alaska, prints:,75
440,watton,baraga,michigan, michigan usa,82
441,ketchikan,ketchikan gateway,alaska, ,100
442,ketchikan,ketchikan gateway,alaska, ,100
443,mid florida,seminole,florida, florida usa,83
444,east setauket,suffolk,new york, setauket ny,83
445,west salem,la crosse,wisconsin, salem va,89
446,ketchikan,ketchikan gateway,alaska, ,100
447,knoxville,knox,illinois, knoxville tn,85
448,quincy,grant,washington, quincy ma ,73
449,atlanta,macon,missouri, atlanta/ mcdonough ga ,64
450,ketchikan,ketchikan gateway,alaska, ,100
451,birmingham,van buren,iowa, birmingham al,86
452,palmdale,los angeles,california, los angeles ca,100
453,quincy,grant,washington, quincy ma ,73
454,tower city,cass,north dakota, where i am now!,63
455,el paso,el paso,texas, texas,100
456,ketchikan,ketchikan gateway,alaska, ,100
457,cabool,texas,missouri, texas usa,80
458,ketchikan,ketchikan gateway,alaska, ,100
459,ketchikan,ketchikan gateway,alaska, ,100
460,truckee,nevada,california, nevada usa,82
461,palmdale,los angeles,california, los angeles ca,100
462,vail,eagle,colorado, colorado,100
463,north hollywood,los angeles,california, hollywood/seattle/west coast,62
464,vail,eagle,colorado, colorado,100
465,long branch,panola,texas, long beach ca las vegas nv,71
466,woodside,kent,delaware, delaware usa,82
467,ketchikan,ketchikan gateway,alaska, ,100
468,ketchikan,ketchikan gateway,alaska, ,100
469,spearfish,lawrence,south dakota, south dakota usa,87
470,ketchikan,ketchikan gateway,alaska, ,100
471,manhattan,nye,nevada, manhattan ny,92
472,las cruces,dona ana,new mexico, las cruces nm,86
473,ketchikan,ketchikan gateway,alaska, ,100
474,skagway,skagway,alaska, usa,75
475,ketchikan,ketchikan gateway,alaska, ,100
476,north las vegas,clark,nevada, las vegas,100
477,spindale,rutherford,north carolina, the old north state,70
478,ketchikan,ketchikan gateway,alaska, ,100
479,new london,rusk,texas, london,100
480,virginia,saint louis,minnesota, virginia usa,85
481,ketchikan,ketchikan gateway,alaska, ,100
482,rose bud,white,arkansas, anamcarazen buddhist monastary,57
483,amsterdam,bates,missouri, amsterdam,90
484,new providence,hardin,iowa, vince lombardi,67
485,kosrae,federated states of micro,micronesia, united states,71
486,ketchikan,ketchikan gateway,alaska, ,100
487,phoenix,jackson,oregon, phoenix az,82
488,oklahoma city,oklahoma,oklahoma, oklahoma city ok,94
489,san antonio,bexar,texas, san antonio tx,87
490,east pittsburgh,allegheny,pennsylvania, pittsburgh,100
491,yeoman,carroll,indiana, indiana,100
492,morris,stevens,minnesota, stevens institute,72
493,ketchikan,ketchikan gateway,alaska, ,100
494,choccolocco,calhoun,alabama, ocsocal,75
495,hayesville,clay,north carolina, lewisville north carolina,81
496,ketchikan,ketchikan gateway,alaska, ,100
497,kent,portage,ohio, basement parliament house ,65
498,ketchikan,ketchikan gateway,alaska, ,100
499,ketchikan,ketchikan gateway,alaska, ,100
500,ketchikan,ketchikan gateway,alaska, ,100
501,ketchikan,ketchikan gateway,alaska, ,100
502,new athens,saint clair,illinois, athens ga,90
503,ketchikan,ketchikan gateway,alaska, ,100
504,ketchikan,ketchikan gateway,alaska, ,100
505,andover,essex,massachusetts, massachusetts usa,88
506,whitefish,flathead,montana, montana,100
507,kosrae,federated states of micro,micronesia, united states of america,72
508,ketchikan,ketchikan gateway,alaska, ky,67
509,new york,new york,new york, new york ny,92
510,ketchikan,ketchikan gateway,alaska, ,100
511,ketchikan,ketchikan gateway,alaska, ,100
512,ketchikan,ketchikan gateway,alaska, ,100
513,skagway,skagway,alaska, usa,75
514,skagway,skagway,alaska, usa,75
515,san diego,san diego,california, san diego ca,100
516,ketchikan,ketchikan gateway,alaska, ,100
517,ketchikan,ketchikan gateway,alaska, ,100
518,north las vegas,clark,nevada, las vegas nv,85
519,palmdale,los angeles,california, los angeles,100
520,new richmond,saint croix,wisconsin, richmond va,92
521,cabool,texas,missouri, texas usa,80
522,ketchikan,ketchikan gateway,alaska, ,100
523,kosrae,federated states of micro,micronesia, united states,71
524,mid florida,seminole,florida, florida usa,83
525,ketchikan,ketchikan gateway,alaska, ,100
526,ratcliff,houston,texas, houston texas,100
527,denver,denver,colorado, denver co,100
528,schnellville,dubois,indiana, dubai,83
529,highland park,middlesex,new jersey, new jersey usa,85
530,ketchikan,ketchikan gateway,alaska, ,100
531,pago pago,american samoa,american samoa, america,100
532,easton,leavenworth,kansas, east of eden,69
533,ketchikan,ketchikan gateway,alaska, ,100
534,skagway,skagway,alaska, usa,75
535,iola,waupaca,wisconsin, wisconsin usa,83
536,reserve,st john the baptist,louisiana, the big apple,64
537,cabool,texas,missouri, texas usa,80
538,atqasuk,north slope,alaska, sküle,67
539,ketchikan,ketchikan gateway,alaska, ,100
540,palmer,christian,illinois, principles of christian love,68
541,highland park,middlesex,new jersey, new jersey usa,85
542,cross plains,dane,wisconsin,   ?coastal plains nc??,57
543,granger,scotland,missouri, glasgow scotland,71
544,dutch harbor,aleutians west,alaska, west,100
545,atlanta,cass,texas, atlanta ga,82
546,ketchikan,ketchikan gateway,alaska, ,100
547,new london,rusk,texas, london,100
548,new virginia,warren,iowa, virginia,100
549,new boston,bowie,texas, boston,100
550,ketchikan,ketchikan gateway,alaska, ,100
551,fort worth,tarrant,texas, fort worth tx.,80
552,fpo,nan, , 34° 3' 8 n; 118° 14' 34 w,44
553,ketchikan,ketchikan gateway,alaska, ,100
554,center point,linn,iowa, center point iowa. usa,77
555,tampa,hillsborough,florida, tampa fl,78
556,melrose,putnam,florida, tampaflorida ,77
557,watts,adair,oklahoma, oklahoma usa,82
558,wilder,overton,tennessee, tennessee,100
559,fort bridger,uinta,wyoming, from stamford bridge to world,65
560,ketchikan,ketchikan gateway,alaska, ,100
561,ketchikan,ketchikan gateway,alaska, ,100
562,ketchikan,ketchikan gateway,alaska, ,100
563,elmira,chemung,new york, new york,100
564,sells,pima,arizona, arizona usa,80
565,ketchikan,ketchikan gateway,alaska, ,100
566,society hill,darlington,south carolina, darlington,100
567,stuart,martin,florida, florida,100
568,sells,pima,arizona, arizona usa,80
569,york,sumter,alabama, alabama,100
570,san antonio,bexar,texas, san antonio texas,83
571,new richmond,montgomery,indiana, richmond mi,92
572,brooklyn,susquehanna,pennsylvania, brooklyn usa,85
573,ketchikan,ketchikan gateway,alaska, ,100
574,yemassee,hampton,south carolina, south carolina usa,88
575,skagway,skagway,alaska, usa,75
576,spearfish,lawrence,south dakota, south dakota,100
577,miami,colfax,new mexico, miami fl,78
578,ketchikan,ketchikan gateway,alaska, ,100
579,detroit,marion,oregon, detroit mi,82
580,ketchikan,ketchikan gateway,alaska, ,100
581,sikes,winn,louisiana, louisiana usa,83
582,ketchikan,ketchikan gateway,alaska, ,100
583,kosrae,federated states of micro,micronesia, united states,71
584,sikes,winn,louisiana, louisiana usa,83
585,ketchikan,ketchikan gateway,alaska, ,100
586,ketchikan,ketchikan gateway,alaska, ,100
587,ketchikan,ketchikan gateway,alaska, ,100
588,ketchikan,ketchikan gateway,alaska, ,100
589,ketchikan,ketchikan gateway,alaska, ,100
590,ketchikan,ketchikan gateway,alaska, ,100
