sn,id,name,FinalCounty,location
632,533444481, MPrestrepo2334 ,, 
633,3405607821, Markallenjobe1 ,, Columbia md
634,272574674, eda4461 ,, 
635,4847963927, bkmb8665 ,, Brooklyn NY
636,909448512, AnitaDWhitee ,, United States
637,3345779998, KS_Lutolf ,, Kansas USA
638,348013783, hcabhawk ,, California
639,347627434, LindaSuhler ,, God Bless America!
640,7.02E+17, jules1965_ ,, 
641,1267362949, Keeping__Real ,, Washington D.C. 
642,142026187, csirigiano ,, 
643,19038210, Eykis ,, Music City USA - NashVegas
644,3306237726, BirmanMichael ,, California USA
645,7.02E+17, ctzen66 ,, Danville KY
646,7.02E+17, jules1965_ ,, 
647,567626521, jko417 ,, United States
648,1724144856, alexbenhard1 ,, 
649,3532050793, JamesVonMaxwell ,, Scotland
650,66275900, hg9703 ,, United States
651,3142954274, ajodom60 ,, 
652,2241717492, lalauraru777 ,, 
653,3330295799, MonopointAmy ,, Hawaii USA
654,2861152027, ninja_kach ,, Texas USA
655,1608965634, georgeblack61 ,, 
656,20428579, falfiee ,, Central Illinois
657,2276753232, SheikaReeves ,, Tallahasseee FL 
658,22209659, Mina001 ,, USA
659,415725818, LisaMiwa ,, 
660,261749735, steph93065 ,, California USA
661,2501358378, Chrisisfake ,, Leeds England
662,503548941, AttorneyTracey1 ,, Detroit MI
663,324540022, GBWriterAndrew ,, Indianapolis IN
664,62418222, Freedomfromu ,, United States
665,21343120, Earthangel7558 ,, 
666,884648612, MignonFeldstein ,, 
667,3404728337, Blondeadroit ,, 
668,1170241909, crstar77 ,, Houston TX
669,2984814863, IsabeleInivin57 ,, United States of America
670,3886472352, sareeves44 ,, Deep South
671,937475790, HubbsJim ,, 
672,1007818814, basanththe_reup ,, Making the World GREAT AGAIN!!
673,65382842, AugustEve2012 ,, Charlotte NC
674,21802725, redchuckjack ,, Chicago IL
675,3354784032, hartv15 ,, 
676,28585356, TDSIanJames ,, California
677,23921732, FoxNewsMom ,, Carlsbad CA
678,39698635, Zach1740 ,, 
679,854072342, casscj ,, Nashville Tennessee
680,426635241, Himself3909 ,, Somewhere West of Philly
681,2580296111, AndrewwCivic ,, 
682,3005641411, afaulknerclan ,, 
683,3130192821, 13BuzzC69 ,, Columbia County Florida USA
684,12425302, ponorit ,, sonyai village redding ca
685,204003684, BestBotoxNurse ,, United States
686,16597796, Brewcerizer ,, FL
687,3837907454, thompsoncheri22 ,, 
688,50041304, chrisncal ,, CA
689,748045944, ConservaCountry ,, 
690,2880023448, mosoto383 ,, 
691,3219303120, YOUNGFiREBRAND ,, 
692,1596748964, RocketRWTurner ,, EugeneOregon
693,384005220, woitekj ,, 
694,21906070, Kegan05 ,, Northwest USA
695,344811563, MrDewMaster ,, 
696,4098237466, natmc33076 ,, 
697,2898756616, cruchofcofee ,, Williamsport MD
698,328572979, ChapmanNancy ,, America the Beautiful
699,2789826107, Jurygal08 ,, PhiladelphiaPA
700,3352811752, JacMjc7268 ,, NunYa biz 
701,384005220, woitekj ,, 
702,7.01E+17, laridor1 ,, 
703,3377478999, Mattwoodnyc3 ,, Manhattan NY
704,1613395148, The_usmnt25 ,, United States
705,3950708835, HollyW81333596 ,, Florida USA
706,3408791968, gobig27 ,, Orlando FL
707,4076935702, rush_simpson ,, 
708,1367811534, abbsent_minded ,, not the closet
709,12980002, CtBrokerRoks ,, Connecticut USA
710,2894256669, JGlltti ,, 
711,7.13E+17, rightwingsiren ,, 
712,4351416912, Oldfolksmatter ,, 
713,4048852873, ROB_e_79 ,, California USA
714,2903166449, MrEdTrain ,, Quincy MA 
715,2398263498, tci92 ,, Louisiana USA
716,20106268, judithfuredi ,, Manhattan NY
717,7.17E+17, lunaawesomedog ,,
718,3093717519, LDJT2016 ,, 
719,263692122, AgentOOSeven ,, Panama City Beach FL
720,4714745576, mhooshma16 ,, Texas USA
721,26558023, kellabeck ,, nyc
722,2211021408, Kiboe71 ,, Grand Island NE
723,186278633, sunshinette ,, rt behind you
724,37352356, Grace_Durbin ,, Oklahoma 
725,3280229443, WoodCarma ,, 
726,388105873, NPete2 ,, 
727,75990180, LAASummers ,, Nottingham/UK 
728,2274407522, AntonloRuiz ,, Montebello CA
729,3391185461, Emmita17E ,, 
730,126097850, JoanFr2 ,, 
731,33138145, Contumedia ,, Florida
732,3719791095, polyannanot ,, Virginia
733,581379553, tooli65 ,, FLORIDA
734,183338295, Inirbag15 ,, Atlantis the Lost Empire
735,28936498, SusanQ294 ,, CA
736,526967433, loman920 ,, BrooklynNY
737,909448512, AnitaDWhitee ,, United States
738,7.09E+17, PuyaFiel ,, 
739,23078405, kansasauthor ,, Kansas
740,4099926287, HannesHanath ,, Berlin 
741,234442133, incomedy ,, Who cares as long as its funny
742,876040219, msann43 ,, Louisiana USA
743,2712850585, AngelicMark ,, San Diego CA
744,742878181, starrbrite2 ,, UK
745,402061844, Juliann990 ,, 
746,2712850585, AngelicMark ,, San Diego CA
747,2712850585, AngelicMark ,, San Diego CA
748,7.02E+17, CuriousVibe ,, 
749,356837905, MeganSmiles ,, 
750,2712850585, AngelicMark ,, San Diego CA
751,2712850585, AngelicMark ,, San Diego CA
752,2712850585, AngelicMark ,, San Diego CA
753,3951200003, IreneEagle1 ,, Kentucky USA
754,402061844, Juliann990 ,, 
755,2712850585, AngelicMark ,, San Diego CA
756,475166181, niels_schenk ,, Groningen
757,362691245, Andrea_peppa ,, Miami Beach
758,2712850585, AngelicMark ,, San Diego CA
759,2771280177, TGlesnes ,, Mons Norway
760,483272505, ammboston ,, Boston MA and Newport ME
761,431917957, magnifier661 ,, California USA
762,2712850585, AngelicMark ,, San Diego CA
763,2712850585, AngelicMark ,, San Diego CA
764,14324572, gburton ,, Palm Springs  Cali
765,2712850585, AngelicMark ,, San Diego CA
766,7.06E+17, TRUMP_loves_US ,, 
767,4854449571, ForTennessee ,, THE GREAT STATE OF TENNESSEE 
768,2712850585, AngelicMark ,, San Diego CA
769,18057956, tmasonmi5 ,, New York
770,352532987, rodsandguitars ,, USA
771,2716292122, ElishivaAhmose ,, Florida
772,2712850585, AngelicMark ,, San Diego CA
773,3288045372, ABWriter22 ,, 
774,252221052, marilocosta ,, Los Angeles California
775,2712850585, AngelicMark ,, San Diego CA
776,3280229443, WoodCarma ,, 
777,4642677934, hissychrisp1 ,, 
778,4803630864, Benross75 ,, 
779,3663025166, Say_Non_Now ,, 
780,52426384, dpburnette ,, 
781,395476407, Zelidasquare ,, 
782,59924442, MsRobiinson ,, Miami FL
783,14478948, alexsteed ,, Maine 
784,565112744, clark7950 ,, 
785,4780961057, ethomas24350 ,, Virginia USA
786,3237940072, ABPolitical ,, Alberta Canada
787,3222839432, colavs2184 ,, United States
788,51149079, pinky0006 ,, CowdenbeathFifer  Scotland
789,74247792, SCforfreedom ,, South Carolina USA
790,191156581, daviddavidsocal ,, California USA
791,55359695, WxSquid ,, Maryland
792,901903482, OmaTalley1 ,, Newport Beach CA
793,798530833, idesignwis ,, 
795,4872648885, peachesgirli23 ,, 
796,4803630864, Benross75 ,, 
797,2465258120, TexasCruzn ,, 
798,329323059, BraveConWarrior ,, USA
799,101264587, ArcticFox2016 ,, 
800,73657657, BarracudaMama ,, EIC
801,475811383, NaughtyBeyotch ,, Texas
802,860616002, Budd0427 ,, 
803,7.06E+17, TRUMP_loves_US ,, 
804,2358413663, amandajs11 ,, England
805,2287596007, nennooshananenn ,, Toronto Canada
806,948843770, rolak_lou ,, hudson. michigan
807,4926495803, wildflower6422 ,, 
808,1595645839, BjornDstss ,, Plainfield IN USA
809,900091915, cre8ivetype ,, Toronto Ontario
810,1051928820, inperilous1 ,, United States
811,748761679, time4kind ,, 
812,507765274, niteowlmom3 ,, Phoenix AZ
813,62714019, FHStralow ,, Gun Barrel City TX
814,2946719823, LouiseT76094094 ,, Twitter
815,35216399, Patriotic_Me ,, Marina del Rey CA
816,1491167527, JuettC ,, Kentucky USA
817,547120423, MelissaFoster77 ,, 
818,1485577891, gregjtracey ,, 
819,1219173900, spydrweber ,, 
820,125426091, playwithmedanny ,, Downtown Portland
821,3403248579, VeritasDolor ,, Down the Rabbit Hole
822,139846174, karinaasti ,, brighton
823,54111268, Cheri_Sheri ,, 
824,3198850587, MrTerensss ,, Liverpool England
825,2302327181, tthompie ,, 
826,7.14E+17, BStew4USA ,, Apache Junction AZ
827,150653567, Ender316 ,, Texas
828,16251851, morbidtourist ,, Tacoma WA
829,926463758, iamusician35 ,, SNAPCHAT - iamusician35
830,774638658, JKWemyss ,, Mansfield OH
831,7.09E+17, LabarRalph ,, 
832,47554499, AlwaysThinkHow ,, USA
833,6.98E+17, keeponmoving16 ,, 
834,164305235, TheCyberRebels ,, The Netherlands Delft/TheHague
835,3589220899, JenBumpas ,, Washington USA
836,4518530433, Packbornne ,, 
837,2867950781, ThisisShak ,, Vancouver British Columbia
838,2496519307, CathyGarside ,, Ontario Canada
839,4292539453, ispytexas ,, Texas USA
840,90380313, PhillyTalk ,, Philadelphia
841,243918946, luzzyguzzy ,,413
842,2493960362, Julia_Abdulla ,, ?????? / ???????
843,2651813438, TalkCritic ,, East of Eden
844,71813531, dawn_redbird ,, 
845,1956776809, ZZLaowai ,, Guangxi Province China
846,791003221, BillyBlame ,, The Naughty Corner
847,67052442, 1VoiceMatters ,, United States
848,7.02E+17, Sydngoose ,, Florida USA
849,1496571493, JillanaLogan ,, Florida USA
850,230688184, Whitefryar ,, Edinburgh and South Tyneside 
851,909429824, SandraHartle ,, Washington
852,512699893, aychin28 ,, 
853,260506313, makaylapack ,, Cølumbus OH // BGSU |-/
854,167173030, lorylovesanimal ,, the lowest of the low desert
855,240240822, flopublic ,, Ruhrgebiet
856,58052610, rafat777 ,, NW
857,3951726322, KathyPica1 ,, Wisconsin USA
858,38078125, jumpmastere8 ,, Honolulu Hawaii
859,28820629, Rowaenthe ,, Smack in the Arizona Desert
860,20015311, rickygervais ,, Earth 
861,516197929, EmguzE ,, 
862,635011613, CATS_PAWS ,, President Bernie Sanders!!!
863,413368459, danilovestay ,, working
864,4012653147, tonynausetbeac1 ,, Florida USA
865,50850618, MotorcycleMarc ,, USA & CANADA
866,24716002, tradethecycles ,, USA
867,204003684, BestBotoxNurse ,, United States
868,16146535, marcylauren ,, Delaware
869,3273222469, ErickaJacobs123 ,, California USA
870,26020465, ETCanada ,, Canada
871,2339070521, nssottile ,, Columbia SC
872,4872648885, peachesgirli23 ,, 
873,22668262, lhorwich ,, 
874,390842981, Sammy_Roth ,, Palm Springs CA
875,3722160913, Duxgirl27 ,, 
876,146666161, Texcess ,, Bloody Fucking Texas
877,2924822810, CFBFan365 ,, 
878,2314018987, ShelbyKentStewa ,, Venus
879,3677594795, realBethNeale ,, Central NY State
880,747552781, Phibear94 ,, United States of America 
881,173249499, affinitytalk ,, Rochester Hills MI
882,4831548988, googoo_mc ,, 
883,204003684, BestBotoxNurse ,, United States
884,4769536303, ToscaAusten ,, Manhattan NY
885,2651813438, TalkCritic ,, East of Eden
886,2749640440, CBockino ,, 
887,6186522, wilburinla ,, Los Angeles CA
888,221121595, JAYBOY6930 ,, Tennessee
889,65036477, lizbit030 ,, Virginia
890,3612974294, HarleyLaughland ,, 
891,471547670, alexplitsas ,, New York USA
892,7.08E+17, DreamLightz ,, Trump Land
893,138713188, ultraconcept ,, 
894,762496814, PaulSchmehl ,, Richardson TX
895,2354921772, kimball_ron ,, 1180-1159
896,728027647, DerekMasino ,, Where are any of us
897,1051928820, inperilous1 ,, United States
898,3034992840, cochran_bob ,, Concho Arizona
899,397934975, SwimSpaJohn ,, Palm Harbor FL
900,3808350372, DGolTweets ,, California USA
901,4827809970, BexvonAltena ,, 
902,529604764, Ps5725 ,, California
903,7.03E+17, n1mblenavigat0r ,, 
904,1403922198, Jimbean87055631 ,, Washington D.C.
905,76461154, dmweinberg1 ,, 
906,1373836093, TheRealPatriot1 ,, Colorado
907,120019003, anthonyi93 ,, 
908,38812371, The_Sean_B ,, United States
909,2735511486, JoeFreedomLove ,, 
910,1729811449, iDis0rder ,, New Yawk
911,3120301769, LindaSudduth2 ,, 
912,48866739, elvisinoregon ,, 
913,2329260715, bigplaincircle ,, 
914,7.03E+17, n1mblenavigat0r ,, 
915,7.11E+17, DeePSw31 ,, 
916,32832446, westgate55 ,, 
917,2861152027, ninja_kach ,, Texas USA
918,32240593, Cronikeys ,, Indianapolis IN
919,59819458, paulclosner ,, Texas
920,112098803, chemical_lab ,, 
921,245990733, DolorosM ,, Maryland/Washington DC area
922,3219771793, dance4meagain ,, 
923,181859696, LariskaPargitay ,, 4/27/2015 I met the Queen
924,1866192355, teerivsaid ,, 
925,3948272452, whitejamie569 ,, Georgia USA
926,16177626, swebs ,, miramar beach FL
927,3723723982, Ma1973sk ,, 
928,263223262, AmericanAsPie ,, Brooklyn NY
929,27587056, Deedra3 ,, Iowa USA
930,67295944, BobZa222 ,, 
931,70860468, 1artniece2 ,, Texas
932,502225187, 10is3 ,, 
933,1895204172, kimbers671 ,, North Idaho
934,449430615, SteveLong71 ,, Charleston WV
935,2183500234, orlando_who ,, being a fake news reporter 
936,3100607607, stevengo99 ,, #CT
937,2284338600, Jmartin482 ,, Ontario Canada
938,139069696, TurkyAlowerde ,, ???????? - ????????
939,89476066, SumerSloan ,, Pasadena California
940,1128696500, ChristVeritas ,, 
941,265530743, USArmy_vet ,, New Jersey Shore
942,326493737, suhleener666 ,, hell 
943,18364362, PF83 ,, Texas
944,50978806, amstaffbru ,, New York City
945,1285997846, Clinkin53 ,, Bluegrass 
946,32831861, psearcy1 ,, THOMASTON GA
947,140638175, toby1995 ,, 
948,122841525, itsGOOB ,, Grand Rapids MI
949,315895544, leigh_arroyo ,, Houston Texas
950,1656853478, MWC_RS ,, IndianapolisIN
951,61567598, Maliheh_ ,, California
952,97793731, mgd2278 ,, 
953,4021079774, PorcupinePundit ,, California USA
954,4910568717, KY4Kasich ,, Kentucky USA
955,3341955665, StoutenburgJeff ,, Heaven My Eternal Home  
956,7.07E+17, Gr8faithful1 ,, 
957,7.13E+17, RosieR1949 ,, United States
958,4676901404, gloriadeanda62 ,, 
959,342460234, kenobikathy ,, Florida USA
960,4288831515, ArtandTigger ,, Florida USA
961,2369640619, jojoh888 ,, 
962,235805038, OfBloodandRank ,, Chicago IL
963,2813679126, THBevilacqua ,, Tallahassee FL
964,16177626, swebs ,, miramar beach FL
965,3029118047, Reppolitics ,, 
966,317223956, sweetsienna23 ,, 
967,4174017441, pappy_jim ,, 
968,16606692, Weather_22 ,, Connecticut
969,7.18E+17, Tkscott828 ,, 
970,462924454, TheOneSoleShoe ,, Our Collective Village 
971,23837667, Jacamina1 ,, 
972,4480906040, SylviaHandwerg4 ,, Texas USA
973,4843793211, trumprage ,, New York USA
974,248400853, SirChuckNorris7 ,, 
975,3310855178, MarkMayfield80 ,, 
976,482343301, ericzaneshow ,, 
977,2286454913, MikeESteelr0077 ,, Pa
978,374760130, makeitRight16 ,, 
979,555526268, MeggiePendarvis ,, 
980,138582512, nbc10_brian ,, 
981,2268236187, brian_66798 ,, Pretoria.Transvaal.Suid Afrika
982,2966848055, jellen805 ,, Main St SW via 5th Ave 
983,7.13E+17, CarlynRoot ,, Arizona USA
984,541904508, U_S_PatriotLife ,, WorldWide
985,40681552, patrick19602005 ,, Maryland
986,20958510, KatyinIndy ,, USA
987,28999528, serenity82108 ,, 
988,217159658, Catwoman2011 ,, Rocklin CA
989,7.11E+17, mary4cruz ,, 
990,3968744956, Juli4Trump ,, Texas USA
991,4910270788, jenniferkay115 ,, East Coast
992,3086873664, livingfree54 ,, 
993,42740158, RandeeMaxine ,, Oroville CA
994,17915515, ElaineFox ,, California
995,24064455, LaCina52 ,, Left Of Eden
996,372900776, Liptionfav ,, the wet windy coast 
997,864687984, aubrey111 ,, 
998,2438858671, DunnoAbout ,, 
999,1164454327, Fools2234 ,, 
1000,258386116, JWeismonger ,, Norge DUAL US CITIZ
1001,114475732, rickdun ,, DEARBORN . MICHIGAN
1002,63996778, joegooding ,, Bethlehem PA 
1003,227642288, StargateWindlow ,, Ohio USA
1004,584779088, rrcorbo ,, USA
1005,221121595, JAYBOY6930 ,, Tennessee
1006,1552390825, TROLL4LIBERTY ,, 
1007,18465455, luisbaram ,, Planet Earth
1008,2716964859, Msmartin415 ,, Florida USA
1009,195603578, tortugadiaz ,, P A S I O N
1010,2197388417, TheWelshTwitt ,, 
1011,4883584173, JSilamianos ,, 
1012,3128771203, Mariatweets3 ,, 
1013,22860531, VinceintheBay ,, SF Bay and beyond.
1014,3927572774, hale4jesus ,, 
1015,3377478999, Mattwoodnyc3 ,, Manhattan NY
1017,7.11E+17, YockeyWendy ,, Texas USA
1018,3128778447, UnFocusedFamily ,, Colo. Springs & WashingtonDC
1019,3056907229, nicholas0096 ,, Springfield PA
1020,124555908, georgewiman ,, Normal IL
1022,551637176, john_klier ,, Florida USA
1023,7.16E+17, PinkPri25886286 ,, 
1024,4649674165, CoryMBone ,, 
1025,613963537, MitchellDrew14 ,, Mississippi 
1026,149036089, adriansimo ,, Timisoara
1027,411902451, kimmons2 ,, Corinth Ms.
1028,550708707, JayCostTWS ,, 
1029,299893741, Lmk_1952 ,, 
1030,115221411, FX_Investierung ,, Houston TX
1031,4871145023, D_r_D_o ,, 
1032,2807402963, AngeloftheSeize ,, Juno Beach Florida
1033,123886905, hollingsworth34 ,, 
1034,7.08E+17, seabreeze1103 ,, 
1035,151153891, puppiesRcutest ,, 
1036,3025798413, JessicaIsntCool ,, San Antonio TX
1037,732025080, Luminate_Design ,, Boston MA USA
1038,3025798413, JessicaIsntCool ,, San Antonio TX
1039,576539583, 147DW ,, 
1040,18285277, rockslacasa ,, Frogtown MFer
1041,108100600, phfreedom ,, 
1042,138092553, josewhales ,, Ozark Mountains
1043,973315350, 70DN ,, Alaska
1044,168418797, Starr1sg ,, Fort Wayne Indiana
1045,2949339839, IrcinkSuzanne ,, 
1046,39733558, iowac ,, North Carolina
1047,3681966139, lycphoto ,, California
1048,7.09E+17, JerryaTaylor3 ,, Stephens City VA
1049,7.08E+17, seabreeze1103 ,, 
1050,4659513317, JOHNGARCIA1152 ,, California USA
1051,31602791, sybildanning ,, Los Angeles
1052,12980002, CtBrokerRoks ,, Connecticut USA
1053,2192695398, tinaquenette2 ,, 
1054,3435940588, MarieMa49685063 ,, 
1055,24064455, LaCina52 ,, Left Of Eden
1056,3316267142, milkvamp ,, Las Vegas NV
1057,2281297118, can071782 ,, Henderson NV
1058,345858289, mishayah ,, Washington State outback
1059,4851681461, MMaria03146111 ,, New York NY
1060,24064455, LaCina52 ,, Left Of Eden
1061,4775336477, deeluttrell1960 ,, 
1062,928607750, zubered ,, 
1063,921460356, varadmehta ,, Philly Burbs
1064,7.13E+17, MillennialTrump ,, United States
1065,2379259568, cos_tennessee ,, Tennessee
1066,6.97E+17, auburn_mike ,, Gasden Alabama 
1067,246098276, Greene251 ,, Alabama Gulf Coast
1068,24064455, LaCina52 ,, Left Of Eden
1069,1733257164, TillsonAol ,, Phenix City Al
1070,292404883, marshy5365 ,, Olmsted Falls OH
1071,22460046, Nori_NYC ,, Upper East Side Manhattan
1072,2596413645, carrieksada ,, Los Angeles CA
1073,200163987, healthandcents ,, AZ  TX www.MedExpertChile.com 
1074,567626521, jko417 ,, United States
1075,889024146, LodiSilverado ,, California
1076,24064455, LaCina52 ,, Left Of Eden
1077,2249692951, Time4Armor ,, GREAT STATE OF TEXAS 
1078,330623773, JRGrayThunder ,, Near the *OK=TX* Border Out in the Wild WILD West
1079,2816395922, TickerTapeVote ,, GREAT STATE OF TEXAS
1081,121656624, PJStrikeForce ,, Great State Of TEXAS ??
1082,4296807192, politified ,, United States of America
1083,2574694502, historyinflicks ,, Queens NY
1084,42741327, ukloner ,, 
1085,7.21E+17, mrtom3560 ,, albany NY
1086,7.21E+17, mrtom3560 ,, albany NY
1087,26369152, tpacific ,, california coast
1088,2746979823, UTHornsRawk ,, 
1089,840456230, robertbirsinger ,, 
1090,14846318, macjonez ,, 
1091,7.13E+17, MillennialTrump ,, United States
1092,26245422, tennismom67 ,, TX
1093,6.99E+17, interestedpaty ,, Sun Valley ID
1094,376375089, KimGOP60 ,, Sanford FL
1095,3280018782, TawnyaSchultz4 ,, 
1096,1592061668, Deana_merritt33 ,, Amelia Island Fl
1097,3664925599, HawaiiPeople ,, 
1098,73485081, nsheridan20 ,, Cleveland - Columbus - Chicago
1099,4774170301, WhoShouldIVote4 ,, United States
1100,345451967, BeachAddict80 ,, Hapuna Beach
1101,1099015518, evesgardenparty ,, USA
1102,3385408715, joejaegerguitar ,, Illinois USA
1103,494763113, tom_news2 ,, Connecticut USA
1104,3305279109, Snoope_Dogge420 ,, 
1105,391755404, maitaisteelers ,, 
1106,7.13E+17, htpol1 ,, S.C.
1107,43186982, Rand_Simberg ,, 
1108,2190922251, mspinkify ,, New York
1109,324552159, Jennifer_1965 ,, Tennessee
1110,3590674395, jdander55 ,, Iowa USA
1111,1491167527, JuettC ,, Kentucky USA
1112,3675016697, KimHarm63660098 ,, Florida USA
1113,54052856, CFluharty ,, Privateer SC
1114,512316663, MPierce47 ,, Sacramento CA
1115,185425059, tteegar ,, Florida USA
1116,63803554, PatriotMinded ,, United States 
1117,3535292002, thestomachhands ,, citizen of the world
1118,256295544, boycotkochbros ,, VIRGINIA
1119,18204604, MLAS ,, 
1120,484229824, Darkstargoddess ,, Right Here
1121,1866192355, teerivsaid ,, 
1122,4220373573, los001979 ,, 
1123,3589745233, DayumMaam ,, Purgatory? Ugh!TryTwitter Hell
1124,861508788, GarrettRuby ,, Siloam Spings AR
1125,24064455, LaCina52 ,, Left Of Eden
1126,4839433331, wornduglsgraves ,, Northern Virginia
1127,54052856, CFluharty ,, Privateer SC
1128,1097291030, ConnorSouthard ,, Laramie
1129,2321302628, TerriMarsh11 ,, Corrupt CA
1130,24865242, BillyAllmon ,,  
1131,1651506721, Tobytomato ,, Pacific Northwest via PA
1132,3949725369, kjon1234561234 ,, 
1133,43420311, kits54 ,, Dixie Desert
1134,821660419, gvhorn1 ,, 
1135,4878945347, BoomMan1976 ,, 
1136,4906058883, Soebutay ,, 
1137,626503046, davidjones720 ,, Springfield Tn
1138,1375053553, Flower_Power_Us ,, Ga Lady.Yes Ma'am #Benghazi
1139,3376569867, LaneSadalup ,, Beautiful Shenandoah Valley VA
1140,4328075054, RyanGrieveAB ,, Alberta
1141,2885760450, linduh83 ,, Utah
1142,182978104, MDI_LLC ,, Newark Delaware
1143,3421137220, WaskelweeWabbit ,, 
1144,3303440338, Irish_Infidel_7 ,, Infidel Paradise 
1145,24064455, LaCina52 ,, Left Of Eden
1146,2171200586, wyomobe ,, Cheyenne WY
1147,42222564, elavoie ,, Montreal
1148,2172638649, ellakinnng ,, Roanoke Rapids NC
1149,7.21E+17, mrtom3560 ,, albany NY
1150,7.21E+17, mrtom3560 ,, albany NY
1151,559720879, neo99934 ,, America
1152,24064455, LaCina52 ,, Left Of Eden
1153,28031362, tahDeetz ,, Atlanta Ga
1154,5620312, dcuniverse ,, Washington D.C.
1155,3025313319, A1Carl ,,
1156,410356962, jeramytackett ,, Oklahoma
1157,222804467, JonesRE3 ,,
1158,48866739, elvisinoregon ,,
1159,1101252860, FAMILYDOCTOR15 ,, Canada
1160,65517621, smitty_one_each ,, NOVA
1161,19323212, Jacie249 ,, NY
1162,22573088, Texas56 ,, #Prolife #NRA #Israel
1163,1045970028, doughty_jeff ,, Indiana  Oklahoma  Indiana
1164,3222795979, four4mat ,,
1165,129949447, marty713 ,, WhereEverIWant2B
1166,21906070, Kegan05 ,, Northwest USA
1167,261400644, 3rockinsisters ,, Nevada
1168,3837213803, blaubok ,, travelling in SE Asia
1169,458109740, ljlewis400 ,,
1170,860577326, jenladkins ,, North Carolina at present
1172,23338738, JosephIngemi ,, New Jersey
1173,36969374, patrickramage ,,
1174,3997433903, BirgitOlsen1 ,,
1175,7.03E+17, GSD1507 ,,
1176,2553493034, AnthonyJRomano ,,
1177,27374583, mytweets_me ,, ChicagoMiami
1178,315073177, BULLOMETER ,, Left Coast
1179,4885328828, SAless98 ,,
1180,21308831, Stips620 ,, Ocala FL
1181,34730013, PRonlineNews ,, U.S. Southeast
1182,1613651070, chatainerobin ,, North Texas
1183,3430181229, TN4Kasich ,, Tennessee USA
1184,2773673031, ellis_sdellis81 ,, Hopkinton NH.
1185,4726275950, WisegalGranny ,,
1186,4233671, chasrmartin ,, Boulder CO
1187,3876882687, MWPolitics ,,
1188,1897861530, aberylka ,,
1189,4459753935, JohnPena03 ,, United States
1190,2749335863, Tom_Frezz ,, Pennsylvania USA
1191,66275900, hg9703 ,, United States
1192,50940086, BoiseMarineMom ,,
1193,2453750406, spikey0728 ,,
1194,199010943, 73101mtp ,,
1195,2771864213, DecentAmerican1 ,, Beautiful USA
1196,631865146, NicholasTyrone ,, London
1197,1387671650, WityCindy ,, ORD
1198,811232569, ehcsztin ,,
1199,4291655293, vachilly64 ,,
1200,3174590074, LaymanGeorge ,,
1201,27463702, pacsgirl36 ,, New York USA
1202,525874754, carolynkeener54 ,, Brandon MS
1203,242567980, ItsAlinajo ,,
1204,750669710, OlsonElijah ,, Washington State
1205,3461087537, di8285502 ,, Upstate NY
1206,34280404, BROWNGNG ,,
1207,34730013, PRonlineNews ,, U.S. Southeast
1208,792854598, FernandoAQuezad ,, Sunshine State
1209,2377866892, marykinseyy ,,
1210,4886213447, Paolalopez1971 ,,
1211,2906382661, Psalm11813 ,,
1212,572254145, alli_eddy ,,
1213,2389326866, TexasTejano1 ,,
1214,49431141, LibertyNow10 ,,
1215,761591065, ClintDougherty ,,
1216,29075651, prosehaikus ,, Georgia
1217,2174652042, Book_56 ,,
1218,253653624, AmericanGypsea ,,
1219,393645945, MichaelJFell ,, Culver City CA
1220,2906382661, Psalm11813 ,,
1221,1009195424, SenFrankNiceley ,,
1222,3103570448, playnicepeeps ,, USA then HEAVEN
1223,921460356, varadmehta ,, Philly Burbs
1224,478311835, page312 ,, Riverside Ca
1225,64413002, MommaHoback ,, Cardnation Kentucky
1226,518948532, BelisaDavis ,, Texas USA
1227,573649780, PrimMrs ,, GA loves Trump
1228,3566638694, CharlesMPowell ,,
1229,174025101, BB1fanTambra ,, Bennett Colorado
1230,19163142, retepger ,, Flyover Country
1231,143332549, Keithhhtan ,,
1232,1573693302, mroutch8 ,, Philadelphia
1233,33138145, Contumedia ,, Florida
1234,907346136, Jentlegin ,, A nice cozy Pro-Trump corner :)
1235,370552834, Jackamus ,, Tampa FL
1236,751996334, glendabelle_11 ,,
1237,236205140, franksnstein ,, DallasTx
1238,113427157, Eliottirado ,,
1239,414956114, KwaakYola ,, USA
1240,49151228, suthernboy100 ,, Terminus
1241,3416505311, LuvMyAmerica ,, United States
1242,7.04E+17, TRUMP_NOW2016 ,,
1243,50880679, JoeSixpackSays ,, USA
1244,20428579, falfiee ,, Central Illinois
1245,29118781, SandyKuti ,,
1246,786997706, STLALAWSTTAY ,, everywhere U.S.A.
1247,21371273, Eliza630 ,,
1248,129949447, marty713 ,, WhereEverIWant2B
1249,2268344145, JessicaSandu ,,
1250,22903233, DaBearsk ,, In My Lane - #TeamHeidi
1251,561660141, pwest12 ,, FargoND USA
1252,1601823204, kathnycITA ,, New York
1253,50472630, patsuya ,, Temecula CA
1254,2703114008, sandiv11 ,,
1255,37025524, MinneMike ,, Minnesota
1256,180049869, bubbydean ,, Newnan GA
1257,927071516, Defund_DC ,, Exceptional USA
1258,3041208837, RotoStocks ,, Important swing state
1259,2456503284, cjmesq1 ,,
1260,2819971380, DKOutdoorTV ,, Alabama
1261,21447013, LizzzT ,, SPEAK UP Take Our Country Back
1262,1049306268, PoliticsWolf ,, North Carolina
1263,606681626, MyrnaIvette1224 ,,
