SN,ID,NAME,FinalCounty,Location1,Location2,,,,,,
1078,330623773, JRGrayThunder , Near the *OK=TX* Border Out in the Wild WILD West, Near the *OK=TX* Border Out in the Wild, WILD West,,,,,,
1079,2816395922, TickerTapeVote , GREAT STATE OF TEXAS, GREAT STATE OF TEXAS,,,,,,,
1081,121656624, PJStrikeForce , Great State Of TEXAS ??, Great State Of TEXAS ??,,,,,,,
1082,4296807192, politified , United States of America, United States of America,,,,,,,
1083,2574694502, historyinflicks , Queens NY, Queens, NY,,,,,,
1084,42741327, ukloner , , ,,,,,,,
1085,7.2134E+17, mrtom3560 , albany NY, albany NY,,,,,,,
1086,7.2134E+17, mrtom3560 , albany NY, albany NY,,,,,,,
1087,26369152, tpacific , california coast, california coast,,,,,,,
1088,2746979823, UTHornsRawk , , ,,,,,,,
1089,840456230, robertbirsinger , , ,,,,,,,
1090,14846318, macjonez , , ,,,,,,,
1091,7.1322E+17, MillennialTrump , United States, United States,,,,,,,
1092,26245422, tennismom67 , TX, TX,,,,,,,
1093,6.98682E+17, interestedpaty , Sun Valley ID, Sun Valley, ID,,,,,,
1094,376375089, KimGOP60 , Sanford FL, Sanford, FL,,,,,,
1095,3280018782, TawnyaSchultz4 , , ,,,,,,,
1096,1592061668, Deana_merritt33 , Amelia Island Fl, Amelia Island ,Fl,,,,,,
1097,3664925599, HawaiiPeople , , ,,,,,,,
1098,73485081, nsheridan20 , Cleveland - Columbus - Chicago, Cleveland - Columbus - Chicago,,,,,,,
1099,4774170301, WhoShouldIVote4 , United States, United States,,,,,,,
1100,345451967, BeachAddict80 , Hapuna Beach, Hapuna Beach,,,,,,,
1101,1099015518, evesgardenparty , USA, USA,,,,,,,
1102,3385408715, joejaegerguitar , Illinois USA, Illinois, USA,,,,,,
1103,494763113, tom_news2 , Connecticut USA, Connecticut, USA,,,,,,
1104,3305279109, Snoope_Dogge420 , , ,,,,,,,
1105,391755404, maitaisteelers , , ,,,,,,,
1106,7.12707E+17, htpol1 , S.C., S.C.,,,,,,,
1107,43186982, Rand_Simberg , , ,,,,,,,
1108,2190922251, mspinkify , New York, New York,,,,,,,
1109,324552159, Jennifer_1965 , Tennessee, Tennessee,,,,,,,
1110,3590674395, jdander55 , Iowa USA, Iowa, USA,,,,,,
1111,1491167527, JuettC , Kentucky USA, Kentucky, USA,,,,,,
1112,3675016697, KimHarm63660098 , Florida USA, Florida, USA,,,,,,
1113,54052856, CFluharty , Privateer SC, Privateer, SC,,,,,,
1114,512316663, MPierce47 , Sacramento CA, Sacramento, CA,,,,,,
1115,185425059, tteegar , Florida USA, Florida, USA,,,,,,
1116,63803554, PatriotMinded , United States , United States ,,,,,,,
1117,3535292002, thestomachhands , citizen of the world, citizen of the world,,,,,,,
1118,256295544, boycotkochbros , VIRGINIA, VIRGINIA,,,,,,,
1119,18204604, MLAS , , ,,,,,,,
1120,484229824, Darkstargoddess , Right Here, Right Here,,,,,,,
1121,1866192355, teerivsaid , , ,,,,,,,
1122,4220373573, los001979 , , ,,,,,,,
1123,3589745233, DayumMaam , Purgatory? Ugh!TryTwitter Hell, Purgatory? Ugh!TryTwitter Hell,,,,,,,
1124,861508788, GarrettRuby , Siloam Spings AR, Siloam Spings, AR,,,,,,
1125,24064455, LaCina52 , Left Of Eden, Left Of Eden,,,,,,,
1126,4839433331, wornduglsgraves , Northern Virginia, Northern Virginia,,,,,,,
1127,54052856, CFluharty , Privateer SC, Privateer, SC,,,,,,
1128,1097291030, ConnorSouthard , Laramie, Laramie,,,,,,,
1129,2321302628, TerriMarsh11 , Corrupt CA, Corrupt CA,,,,,,,
1130,24865242, BillyAllmon ,  ,  ,,,,,,,
1131,1651506721, Tobytomato , Pacific Northwest via PA, Pacific Northwest via PA,,,,,,,
1132,3949725369, kjon1234561234 , , ,,,,,,,
1133,43420311, kits54 , Dixie Desert, Dixie Desert,,,,,,,
1134,821660419, gvhorn1 , , ,,,,,,,
1135,4878945347, BoomMan1976 , , ,,,,,,,
1136,4906058883, Soebutay , , ,,,,,,,
1137,626503046, davidjones720 , Springfield Tn, Springfield Tn,,,,,,,
1138,1375053553, Flower_Power_Us , Ga Lady.Yes Ma'am #Benghazi, Ga Lady.Yes Ma'am #Benghazi,,,,,,,
1139,3376569867, LaneSadalup , Beautiful Shenandoah Valley VA, Beautiful Shenandoah Valley VA,,,,,,,
1140,4328075054, RyanGrieveAB , Alberta, Alberta,,,,,,,
1141,2885760450, linduh83 , Utah, Utah,,,,,,,
1142,182978104, MDI_LLC , Newark Delaware, Newark, Delaware,,,,,,
1143,3421137220, WaskelweeWabbit , , ,,,,,,,
1144,3303440338, Irish_Infidel_7 , Infidel Paradise , Infidel Paradise ,,,,,,,
1145,24064455, LaCina52 , Left Of Eden, Left Of Eden,,,,,,,
1146,2171200586, wyomobe , Cheyenne WY, Cheyenne, WY,,,,,,
1147,42222564, elavoie , Montreal, Montreal,,,,,,,
1148,2172638649, ellakinnng , Roanoke Rapids NC, Roanoke Rapids, NC,,,,,,
1149,7.2134E+17, mrtom3560 , albany NY, albany NY,,,,,,,
1150,7.2134E+17, mrtom3560 , albany NY, albany NY,,,,,,,
1151,559720879, neo99934 , America, America,,,,,,,
1152,24064455, LaCina52 , Left Of Eden, Left Of Eden,,,,,,,
1153,28031362, tahDeetz , Atlanta Ga, Atlanta, Ga,,,,,,
1154,5620312, dcuniverse , Washington D.C., Washington, D.C.,,,,,,
1155,3025313319, A1Carl ,,,,,,,,,
1156,410356962, jeramytackett , Oklahoma, Oklahoma,,,,,,,
1157,222804467, JonesRE3 ,,,,,,,,,
1158,48866739, elvisinoregon ,,,,,,,,,
1159,1101252860, FAMILYDOCTOR15 , Canada, Canada,,,,,,,
1160,65517621, smitty_one_each , NOVA, NOVA,,,,,,,
1161,19323212, Jacie249 , NY, NY,,,,,,,
1162,22573088, Texas56 , #Prolife #NRA #Israel, #Prolife #NRA #Israel,,,,,,,
1163,1045970028, doughty_jeff , Indiana  Oklahoma  Indiana, Indiana  Oklahoma  Indiana,,,,,,,
1164,3222795979, four4mat ,,,,,,,,,
1165,129949447, marty713 , WhereEverIWant2B, WhereEverIWant2B,,,,,,,
1166,21906070, Kegan05 , Northwest USA, Northwest USA,,,,,,,
1167,261400644, 3rockinsisters , Nevada, Nevada,,,,,,,
1168,3837213803, blaubok , travelling in SE Asia, travelling in SE Asia,,,,,,,
1169,458109740, ljlewis400 ,,,,,,,,,
1170,860577326, jenladkins , North Carolina at present, North Carolina at present,,,,,,,
1172,23338738, JosephIngemi , New Jersey, New Jersey,,,,,,,
1173,36969374, patrickramage ,,,,,,,,,
1174,3997433903, BirgitOlsen1 ,,,,,,,,,
1175,7.02712E+17, GSD1507 ,,,,,,,,,
1176,2553493034, AnthonyJRomano ,,,,,,,,,
1177,27374583, mytweets_me , ChicagoMiami, ChicagoMiami,,,,,,,
1178,315073177, BULLOMETER , Left Coast, Left Coast,,,,,,,
1179,4885328828, SAless98 ,,,,,,,,,
1180,21308831, Stips620 , Ocala FL, Ocala, FL,,,,,,
1181,34730013, PRonlineNews , U.S. Southeast, U.S. Southeast,,,,,,,
1182,1613651070, chatainerobin , North Texas, North Texas,,,,,,,
1183,3430181229, TN4Kasich , Tennessee USA, Tennessee, USA,,,,,,
1184,2773673031, ellis_sdellis81 , Hopkinton NH., Hopkinton, NH.,,,,,,
1185,4726275950, WisegalGranny ,,,,,,,,,
1186,4233671, chasrmartin , Boulder CO, Boulder CO,,,,,,,
1187,3876882687, MWPolitics ,,,,,,,,,
1188,1897861530, aberylka ,,,,,,,,,
1189,4459753935, JohnPena03 , United States, United States,,,,,,,
1190,2749335863, Tom_Frezz , Pennsylvania USA, Pennsylvania, USA,,,,,,
1191,66275900, hg9703 , United States, United States,,,,,,,
1192,50940086, BoiseMarineMom ,,,,,,,,,
1193,2453750406, spikey0728 ,,,,,,,,,
1194,199010943, 73101mtp ,,,,,,,,,
1195,2771864213, DecentAmerican1 , Beautiful USA, Beautiful USA,,,,,,,
1196,631865146, NicholasTyrone , London, London,,,,,,,
1197,1387671650, WityCindy , ORD, ORD,,,,,,,
1198,811232569, ehcsztin ,,,,,,,,,
1199,4291655293, vachilly64 ,,,,,,,,,
1200,3174590074, LaymanGeorge ,,,,,,,,,
1201,27463702, pacsgirl36 , New York USA, New York, USA,,,,,,
1202,525874754, carolynkeener54 , Brandon MS, Brandon, MS,,,,,,
1203,242567980, ItsAlinajo ,,,,,,,,,
1204,750669710, OlsonElijah , Washington State, Washington State,,,,,,,
1205,3461087537, di8285502 , Upstate NY, Upstate NY,,,,,,,
1206,34280404, BROWNGNG ,,,,,,,,,
1207,34730013, PRonlineNews , U.S. Southeast, U.S. Southeast,,,,,,,
1208,792854598, FernandoAQuezad , Sunshine State, Sunshine State,,,,,,,
1209,2377866892, marykinseyy ,,,,,,,,,
1210,4886213447, Paolalopez1971 ,,,,,,,,,
1211,2906382661, Psalm11813 ,,,,,,,,,
1212,572254145, alli_eddy ,,,,,,,,,
1213,2389326866, TexasTejano1 ,,,,,,,,,
1214,49431141, LibertyNow10 ,,,,,,,,,
1215,761591065, ClintDougherty ,,,,,,,,,
1216,29075651, prosehaikus , Georgia, Georgia,,,,,,,
1217,2174652042, Book_56 ,,,,,,,,,
1218,253653624, AmericanGypsea ,,,,,,,,,
1219,393645945, MichaelJFell , Culver City CA, Culver City, CA,,,,,,
1220,2906382661, Psalm11813 ,,,,,,,,,
1221,1009195424, SenFrankNiceley ,,,,,,,,,
1222,3103570448, playnicepeeps , USA then HEAVEN, USA then HEAVEN,,,,,,,
1223,921460356, varadmehta , Philly Burbs, Philly Burbs,,,,,,,
1224,478311835, page312 , Riverside Ca, Riverside, Ca,,,,,,
1225,64413002, MommaHoback , Cardnation Kentucky, Cardnation, Kentucky,,,,,,
1226,518948532, BelisaDavis , Texas USA, Texas, USA,,,,,,
1227,573649780, PrimMrs , GA loves Trump, GA loves Trump,,,,,,,
1228,3566638694, CharlesMPowell ,,,,,,,,,
1229,174025101, BB1fanTambra , Bennett Colorado, Bennett, Colorado,,,,,,
1230,19163142, retepger , Flyover Country, Flyover Country,,,,,,,
1231,143332549, Keithhhtan ,,,,,,,,,
1232,1573693302, mroutch8 , Philadelphia, Philadelphia,,,,,,,
1233,33138145, Contumedia , Florida, Florida,,,,,,,
1234,907346136, Jentlegin , A nice cozy Pro-Trump corner :), A nice cozy Pro-Trump corner :),,,,,,,
1235,370552834, Jackamus , Tampa FL, Tampa, FL,,,,,,
1236,751996334, glendabelle_11 ,,,,,,,,,
1237,236205140, franksnstein , DallasTx, Dallas,Tx,,,,,,
1238,113427157, Eliottirado ,,,,,,,,,
1239,414956114, KwaakYola , USA, USA,,,,,,,
1240,49151228, suthernboy100 , Terminus, Terminus,,,,,,,
1241,3416505311, LuvMyAmerica , United States, United States,,,,,,,
1242,7.04353E+17, TRUMP_NOW2016 ,,,,,,,,,
1243,50880679, JoeSixpackSays , USA, USA,,,,,,,
1244,20428579, falfiee , Central Illinois, Central Illinois,,,,,,,
1245,29118781, SandyKuti ,,,,,,,,,
1246,786997706, STLALAWSTTAY , everywhere U.S.A., everywhere U.S.A.,,,,,,,
1247,21371273, Eliza630 ,,,,,,,,,
1248,129949447, marty713 , WhereEverIWant2B, WhereEverIWant2B,,,,,,,
1249,2268344145, JessicaSandu ,,,,,,,,,
1250,22903233, DaBearsk , In My Lane - #TeamHeidi, In My Lane - #TeamHeidi,,,,,,,
1251,561660141, pwest12 , FargoND USA, Fargo,ND USA,,,,,,
1252,1601823204, kathnycITA , New York, New York,,,,,,,
1253,50472630, patsuya , Temecula CA, Temecula, CA,,,,,,
1254,2703114008, sandiv11 ,,,,,,,,,
1255,37025524, MinneMike , Minnesota, Minnesota,,,,,,,
1256,180049869, bubbydean , Newnan GA, Newnan, GA,,,,,,
1257,927071516, Defund_DC , Exceptional USA, Exceptional USA,,,,,,,
1258,3041208837, RotoStocks , Important swing state, Important swing state,,,,,,,
1259,2456503284, cjmesq1 ,,,,,,,,,
1260,2819971380, DKOutdoorTV , Alabama, Alabama,,,,,,,
1261,21447013, LizzzT , SPEAK UP Take Our Country Back, SPEAK UP Take Our Country Back,,,,,,,
1262,1049306268, PoliticsWolf , North Carolina, North Carolina,,,,,,,
1263,606681626, MyrnaIvette1224 ,,,,,,,,,
1264,1426710036, EversFam , United States, United States,,,,,,,
1265,947326788, LynnieCA , SF Bay Area, SF Bay Area,,,,,,,
1266,1017832603, JenZatoth , NJ, NJ,,,,,,,
1267,13282312, skenoch , #wellwell, #well,well,,,,,,
1268,7.05624E+17, CK1jj , Connecticut USA, Connecticut, USA,,,,,,
1269,15693190, moxiemom ,,,,,,,,,
1270,7.05443E+17, mister949 , Yorba Linda CA, Yorba Linda, CA,,,,,,
1271,2977792686, RtOnPolitics ,,,,,,,,,
1272,2223691094, ErnestLamonica ,,,,,,,,,
1273,4860633803, USMC3rdBnMCo ,,,,,,,,,
1274,33138145, Contumedia , Florida, Florida,,,,,,,
1275,160035443, hiive , Auburn AL, Auburn, AL,,,,,,
1276,1313929171, Dizzy329 , Queens NY, Queens, NY,,,,,,
1277,422317099, Rauthschild , Washington USA, Washington, USA,,,,,,
1278,4064541252, JesseShepard80 , SoCal, SoCal,,,,,,,
1279,19377400, CyberManin , Rochefort France, Rochefort, France,,,,,,
1280,72841205, JaniceRaffa , Beaumont TX, Beaumont TX,,,,,,,
1281,28534205, paphotog , PA, PA,,,,,,,
1282,360265928, arnoldse38 , Georgia USA, Georgia, USA,,,,,,
1283,49465619, Doug24Seven , Florida USA, Florida USA,,,,,,,
1284,3530928317, K77491259 , Battle Creek MI, Battle Creek, MI,,,,,,
1285,2332118144, MistorResistor , Austin Texas, Austin, Texas,,,,,,
1286,18266821, mosesc1963 ,,,,,,,,,
1287,4883584173, JSilamianos ,,,,,,,,,
1288,475158308, CameliaDitch , Cary NC, Cary NC,,,,,,,
1289,208862355, ColbyNicholson , Edmond OK, Edmond, OK,,,,,,
1290,3497941, owillis , Takoma Park MD, Takoma Park, MD,,,,,,
1291,39387296, smithjuliec , Atlanta GA, Atlanta, GA,,,,,,
1292,2405531671, mpopv , Washington DC, Washington, DC,,,,,,
1293,355151947, O_IrishT , Tennessee USA, Tennessee, USA,,,,,,
1294,713766486, MikeRobbinsUSA , USA, USA,,,,,,,
1295,94620467, TheIvanVolter , Raleigh North Carolina, Raleigh, North Carolina,,,,,,
1296,7.03685E+17, JacquelineLubr1 , Everywhere USA, Everywhere, USA,,,,,,
1297,820676600, dzgocats ,,,,,,,,,
1298,50434933, LifeNewsHQ , USA, USA,,,,,,,
1299,125550109, delyju , Vegas, Vegas,,,,,,,
1300,584402890, grant_hose ,,,,,,,,,
1301,7.05872E+17, my3boysrockit , United States, United States,,,,,,,
1302,885697352, katypillar70 ,,,,,,,,,
1303,7.09047E+17, dblgyp ,,,,,,,,,
1304,7.19268E+17, NoTrumpEver , USA, USA,,,,,,,
1305,7.14957E+17, 1more4_Trump ,,,,,,,,,
1306,4875896757, WinnaWinna2016 ,,,,,,,,,
1307,18679025, clisom , Frisco TX, Frisco, TX,,,,,,
1308,1346991799, b2american , Naples Florida, Naples, Florida,,,,,,
1309,2559414787, birderbud ,,,,,,,,,
1310,820676600, dzgocats ,,,,,,,,,
1311,3073767893, cpark1776 , Indiana USA, Indiana, USA,,,,,,
1312,419344685, vivek4wild , Global, Global,,,,,,,
1313,73829585, GOPTejana , San Antonio Texas, San Antonio, Texas,,,,,,
1314,62802393, foodhistorian , Binghamton NY, Binghamton, NY,,,,,,
1315,2793367408, dtalley1952 ,,,,,,,,,
1316,545089067, mbguardian1966 , S. Carolina, S. Carolina,,,,,,,
1317,2900781590, TimSayWhat , God Bless America, God Bless America,,,,,,,
1318,1885024224, christa_dorsett ,,,,,,,,,
1319,724381837, VictorChameleon , Hopewell Furnace Pa., Hopewell Furnace ,Pa.,,,,,,
1320,1018758942, e_Begrimed , Chicago IL, Chicago, IL,,,,,,
1321,54306830, tomborelli , Eastchester NY, Eastchester, NY,,,,,,
1322,2347050292, MaxineAsher ,,,,,,,,,
1323,288283415, daxtonbrown , Las Vegas, Las Vegas,,,,,,,
1324,7.17113E+17, unappologeticly ,,,,,,,,,
1325,482973239, Voter99percent ,,,,,,,,,
1326,2392901376, Am3ricaChang3d , Indiana USA, Indiana, USA,,,,,,
1327,24544802, shortman5427 ,,,,,,,,,
1328,4378590552, jwgimh , Socorro NM, Socorro, NM,,,,,,
1329,365208486, odetovalerie , MI |-/, MI |-/,,,,,,,
1330,2577216392, cathbysgod , Here & Now, Here & Now,,,,,,,
1331,1568498256, 1776Solution , Maryland, Maryland,,,,,,,
1332,295195137, LWelch2 , Massachusetts, Massachusetts,,,,,,,
1333,7.15724E+17, PinkPri25886286 ,,,,,,,,,
1334,328231381, thestustein , New York, New York,,,,,,,
1335,898728732, mikepfingston2 ,,,,,,,,,
1336,7.12121E+17, WilliamMauldin9 , Clearfield UT, Clearfield, UT,,,,,,
1337,2891047298, butleriano , Salt Lake, Salt Lake,,,,,,,
1338,7.10967E+17, gabriel_turpin ,,,,,,,,,
1339,306724690, lois_rogers ,,,,,,,,,
1340,48828637, papago1996 , Minnesota, Minnesota,,,,,,,
1341,3076120380, ingrassia_9 ,,,,,,,,,
1342,923885029, LRbullies , Vero Beach  From Chicago, Vero Beach,  From Chicago,,,,,,
1343,2468329670, Freedom_River , Torrance CA, Torrance, CA,,,,,,
1344,2477028826, krom1781 , USA, USA,,,,,,,
1345,15591819, RGChronicles , Dallas Texas, Dallas, Texas,,,,,,
1346,198921096, raja1948 , Indianapolis, Indianapolis,,,,,,,
1347,1177749511, conserva8 ,,,,,,,,,
1348,1376035327, dgdocter12 , Seattle - The Emerald City, Seattle - The Emerald City,,,,,,,
1349,2943173748, SudoKraken , Power house of the cell, Power house of the cell,,,,,,,
1350,847923606, jjbenz19 ,,,,,,,,,
1351,384434800, SueSabo , United States, United States,,,,,,,
1352,793744861, 1SeriousAmerica ,,,,,,,,,
1353,23764053, davwain , Toronto, Toronto,,,,,,,
1354,375194919, mooshakins , KochWhore, KochWhore,,,,,,,
1355,31580633, Pattikke , San Fernando Valley CA, San Fernando Valley, CA,,,,,,
1356,11187462, SonnyGirard , Boca Raton FL, Boca Raton, FL,,,,,,
1357,378364268, IhabAbuel3nein ,,,,,,,,,
1358,971683675, jjupv4 , United States, United States,,,,,,,
1359,35567361, _Christophoros_ , Texas, Texas,,,,,,,
1360,7.02895E+17, eva48w4 ,,,,,,,,,
1361,447283713, duck464 , Medford Oregon, Medford, Oregon,,,,,,
1362,15446531, mattyglesias , Washington DC, Washington, DC,,,,,,
1363,35298962, KalV194 , US, US,,,,,,,
1364,4635054085, make_greatagain ,,,,,,,,,
1365,971737663, gfup56 ,,,,,,,,,
1366,4122226696, counter_signal , Ohio USA, Ohio, USA,,,,,,
1367,929882659, Ster24080753 ,,,,,,,,,
1368,83374478, saletan , Washington DC, Washington, DC,,,,,,
1369,3637329082, RosaPac37051918 ,,,,,,,,,
1370,1653313561, RobertKearney10 ,,,,,,,,,
1371,2349716513, S03Hardi , Pottstown PA, Pottstown, PA,,,,,,
1372,259332708, MikeRathbone86 , Earth, Earth,,,,,,,
1373,1335947582, Rosemarrisa ,,,,,,,,,
1375,2861152027, ninja_kach , Texas USA, Texas, USA,,,,,,
1376,249850854, B4INFeatured ,,,,,,,,,
1377,81702025, psuflyers24 , Miami, Miami,,,,,,,
1378,53056220, GPN14 ,,,,,,,,,
1379,249850854, B4INFeatured ,,,,,,,,,
1380,138092553, josewhales , Ozark Mountains, Ozark Mountains,,,,,,,
1381,614524574, B4INtest ,,,,,,,,,
1382,209827954, RickSchultzNY ,,,,,,,,,
1383,1531185990, Cecil3695Cecil , Los Angeles California, Los Angeles, California,,,,,,
1384,16867624, worldwide7 , Everywhere, Everywhere,,,,,,,
1385,1115237750, netdog713 , Indiana, Indiana,,,,,,,
1386,39959975, ReaganiteGOPer ,,,,,,,,,
1387,942599598, NancyNvandyke86 , ill, ill,,,,,,,
1388,4874685118, TrumpNation22 ,,,,,,,,,
1389,7.10686E+17, hzleyegurl , Gravel Road Ph: 10001110101, Gravel Road, Ph: 10001110101,,,,,,
1390,16621187, RobertMichaels , ÜT: 35.991455-86.812637, ÜT: 35.991455,-86.812637,,,,,,
1391,18978553, rorycooper , Washington DC, Washington, DC,,,,,,
1392,21965432, Junebug1952 , The Late Great U.S.A, The Late Great U.S.A,,,,,,,
1393,7.05618E+17, MKasich , Virginia USA, Virginia, USA,,,,,,
1394,339706852, Phiberphan ,,,,,,,,,
1395,2955084638, jace_breedlove , Dallas TX, Dallas, TX,,,,,,
1396,790501219, tduke8809 , EARTH, EARTH,,,,,,,
1397,386034701, efinan57 , NE Ohio, NE Ohio,,,,,,,
1398,3766084042, jeep_sifu ,,,,,,,,,
1399,4728538761, Jesse75451319 ,,,,,,,,,
1400,74775685, imtan2 , Orlando FL, Orlando, FL,,,,,,
1401,838904148, TmontDk , Nutley NJ, Nutley, NJ,,,,,,
1402,14200865, voxsusana , LA CA, LA, CA,,,,,,
1403,449128263, Lezlie61 , Denver Co, Denver, Co,,,,,,
1404,126636133, tinkitk , Southern Calif., Southern Calif.,,,,,,,
1405,920161381, ForQ2 , USA, USA,,,,,,,
1406,83701522, ButchJocson , USA, USA,,,,,,,
1407,7.04093E+17, Tambor200 , North Carolina USA, North Carolina, USA,,,,,,
1408,3377551879, Smith11Vicki , Arizona USA, Arizona, USA,,,,,,
1409,875800922, mattismommi , UniteBlue.  West Virginia, UniteBlue.  West Virginia,,,,,,,
1410,73657657, BarracudaMama , EIC, EIC,,,,,,,
1411,3003765995, Blackdi51264299 ,,,,,,,,,
1412,4068104776, Hack031958 ,,,,,,,,,
1413,4516076294, MickBlair54 , Frisco CO, Frisco, CO,,,,,,
1414,3327155022, momjessie7 , United States, United States,,,,,,,
1415,2744839145, dan2melz ,,,,,,,,,
1416,176678019, daliafierro ,,,,,,,,,
1417,36156490, crocboy ,,,,,,,,,
1418,138092553, josewhales , Ozark Mountains, Ozark Mountains,,,,,,,
1419,608349308, carrielattimer ,,,,,,,,,
1420,2167585616, big_carsonrocks , Buffalo NY, Buffalo, NY,,,,,,
1421,526346146, TCuccio ,,,,,,,,,
1422,1032818844, tonpoo5219 , New York, New York,,,,,,,
1423,316700966, MichaelWright16 , Midwest, Midwest,,,,,,,
1424,827318624, RobNickel2 ,,,,,,,,,
1425,598925796, Doc_JJK , Edinboro PA, Edinboro, PA,,,,,,
1426,48409823, saravern ,,,,,,,,,
1427,701276282, unionhypocrisy ,,,,,,,,,
1428,960480480, pfseth , Pittsburgh, Pittsburgh,,,,,,,
1429,715261196, RickBaker17 , PA, PA,,,,,,,
1430,2713061568, PaulPyle , Nampa Idaho, Nampa, Idaho,,,,,,
1431,3257389375, robert_holt_198 , Columbia SC, Columbia, SC,,,,,,
1432,2420941400, democrat_ebooks ,,,,,,,,,
1433,7.13817E+17, friends_guns , Auburn ME, Auburn, ME,,,,,,
1434,4856285775, CraZeyNinJa ,,,,,,,,,
1435,146510317, harpyonside ,  State,  State,,,,,,,
1436,7.04408E+17, WEMUSTSTOPTRUMP , America, America,,,,,,,
1437,3435940588, MarieMa49685063 ,,,,,,,,,
1438,41832880, danjapan7 ,,,,,,,,,
1439,3283811719, RepublicanMvmnt ,,,,,,,,,
1440,1957837244, misinsimilla , Anywhere USA, Anywhere, USA,,,,,,
1441,202750031, _Richard_A_King ,,,,,,,,,
1442,7.09855E+17, OrlandoMilian8 , Hialeah FL, Hialeah, FL,,,,,,
1443,3271255423, TeamTrumpAZ , HATER S NOT WELCOME, HATER S NOT WELCOME,,,,,,,
1444,1401082044, pearlints ,,,,,,,,,
1445,24655516, DrKC4 , Midwest, Midwest,,,,,,,
1446,631865146, NicholasTyrone , London, London,,,,,,,
1447,15649724, rggepi ,,,,,,,,,
1448,402061844, Juliann990 ,,,,,,,,,
1449,95354681, wivoutadoubt ,,,,,,,,,
1450,2233309986, lquartl ,,,,,,,,,
1451,2312175253, djlyles45 ,,,,,,,,,
1452,2559582960, triumphtimes , United States of America, United States of America,,,,,,,
1453,1512642086, Coco1Hunter , Trumpville, Trumpville,,,,,,,
1454,110978799, gayle639 ,,,,,,,,,
1455,23966021, LostMapleTX , San Antonio Texas, San Antonio, Texas,,,,,,
1456,4856364013, Kellydanes1 , Phoenix AZ, Phoenix, AZ,,,,,,
1457,4853922562, wandashelton94 ,,,,,,,,,
1458,2491964094, cyndiwanek , Texas in rwnj country, Texas in rwnj country,,,,,,,
1459,3164614729, Rdenee ,,,,,,,,,
1460,451743701, JennyLewis23 , Tampa FL, Tampa, FL,,,,,,
1461,467932000, cachobweeney , Florida USA, Florida, USA,,,,,,
1462,2562506614, 2016Noel , Future Christen Noel C Grace, Future Christen Noel C Grace,,,,,,,
1463,3330557069, Born2RunJosh , Ohio USA, Ohio, USA,,,,,,
1464,16225882, deaninwaukesha , Waukesha Wisconsin, Waukesha, Wisconsin,,,,,,
1465,7.05572E+17, Debiester1963 , Johns Creek GA, Johns Creek, GA,,,,,,
1466,901903482, OmaTalley1 , Newport Beach CA, Newport Beach, CA,,,,,,
1467,49299982, momness1 , Illinois, Illinois,,,,,,,
1468,4900516826, BeaQwhyit , TN, TN,,,,,,,
1469,24655764, doncastella , Lake County Illinois, Lake County, Illinois,,,,,,
1470,1930793629, mgd4177 , NW Indiana, NW Indiana,,,,,,,
1471,52775857, kmfzzz , Virginia, Virginia,,,,,,,
1472,2477578740, dust52moor , Tyler TX, Tyler, TX,,,,,,
1473,3750347244, bbodine18457 , Texas USA, Texas, USA,,,,,,
1474,1123268714, mikeyb3102 ,,,,,,,,,
1475,2477028826, krom1781 , USA, USA,,,,,,,
1476,22730293, WRyanMcCann ,,,,,,,,,
1477,411902451, kimmons2 , Corinth Ms., Corinth, Ms.,,,,,,
1478,7.05062E+17, vanessa72557 , North Carolina, North Carolina,,,,,,,
1479,3150562796, MartialFootball , World Wide, World Wide,,,,,,,
1480,1655470728, JamieW1776 , Nunyabizness, Nunyabizness,,,,,,,
1481,3066322006, Richboi2602 , the cloud, the cloud,,,,,,,
1482,175907485, RESPECTPUNK434 ,,,,,,,,,
1483,101640907, CarolVicic ,,,,,,,,,
1484,3059352001, DavesBigWife ,,,,,,,,,
1485,22903233, DaBearsk , In My Lane - #TeamHeidi, In My Lane - #TeamHeidi,,,,,,,
1486,860807707, JackieJackielg ,,,,,,,,,
1487,6.98548E+17, LiveFreedomOrDi , South Carolina, South Carolina,,,,,,,
1488,83701522, ButchJocson , USA, USA,,,,,,,
1489,7.15869E+17, jomo32284 , United States, United States,,,,,,,
1490,121138796, offgridnews ,,,,,,,,,
1491,2899031701, TrimbleSam , Conway AR, Conway, AR,,,,,,
1492,427610031, Tnyankeefan35 ,,,,,,,,,
1493,921460356, varadmehta , Philly Burbs, Philly Burbs,,,,,,,
1494,2209420577, globaker56 ,,,,,,,,,
1495,3315192012, ForTrump2016 , State of Texas, State of Texas,,,,,,,
1496,34160624, jeffscottshow ,,,,,,,,,
1497,24655764, doncastella , Lake County Illinois, Lake County, Illinois,,,,,,
1498,529065457, bsusbielles , Hunters Creek FL, Hunters Creek, FL,,,,,,
1499,19548690, LarryChoateIII , Seattle WA, Seattle, WA,,,,,,
1500,19048952, JangoBear , Chicago at the moment then TX., Chicago at the moment then TX.,,,,,,,
1501,85161137, sweetyw ,,,,,,,,,
1502,904132304, KMalamisura ,,,,,,,,,
1503,166362103, RighT_QueeN ,,,,,,,,,
1504,4826927664, CFRAZIER329 , Georgia USA, Georgia, USA,,,,,,
1505,7.09843E+17, mariaelena7890 ,,,,,,,,,
1506,7.03663E+17, RosarioReynos10 , Texas USA, Texas, USA,,,,,,
